path,class,split,source
ml\data\processed\train\no_damage\synthetic_no_damage_00000.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00001.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00002.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00003.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00004.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00005.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00006.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00007.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00008.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00009.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00010.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00011.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00012.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00013.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00014.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00015.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00016.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00017.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00018.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00019.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00020.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00021.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00022.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00023.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00024.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00025.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00026.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00027.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00028.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00029.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00030.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00031.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00032.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00033.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00034.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00035.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00036.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00037.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00038.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00039.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00040.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00041.png,no_damage,train,synthetic
ml\data\processed\train\no_damage\synthetic_no_damage_00042.png,no_damage,train,synthetic
